timestamp_local,current_mA,bus_V,shunt_mV,power_mW,energy_J,charge_C,temperature_C
2026-04-15T14:08:50,749.42,13.13,12.28,9837.52,0.09,0.01,22.25
2026-04-15T14:08:51,862.58,13.13,12.94,11322.81,11.41,0.87,22.25
2026-04-15T14:08:52,851.82,13.13,12.78,11181.4,22.78,1.74,22.25
2026-04-15T14:08:53,786.0,13.13,11.79,10808.47,34.2,2.61,22.26
2026-04-15T14:08:54,626.64,12.85,9.4,7959.53,44.3,3.39,22.26
2026-04-15T14:08:55,146.56,13.18,2.2,1946.84,49.58,3.8,22.27
2026-04-15T14:08:56,301.57,13.25,4.52,4005.74,51.79,3.96,22.27
2026-04-15T14:08:57,934.79,12.77,14.02,11864.93,61.01,4.72,22.27
2026-04-15T14:08:58,880.6,13.13,13.21,11559.45,72.61,5.6,22.27
2026-04-15T14:08:59,854.93,13.13,12.82,11222.41,83.89,6.46,22.27
2026-04-15T14:09:00,844.71,13.13,12.38,10835.14,94.99,7.31,22.28
2026-04-15T14:09:01,831.68,13.13,12.48,10918.03,106.07,8.16,22.28
2026-04-15T14:09:02,823.76,13.13,12.36,10813.66,117.13,9.0,22.29
2026-04-15T14:09:03,776.54,13.13,11.65,10192.38,127.91,9.82,22.29
2026-04-15T14:09:04,602.05,12.9,9.03,7660.16,137.57,10.56,22.3
2026-04-15T14:09:05,72.19,13.17,1.08,948.79,142.54,10.95,22.3
2026-04-15T14:09:06,390.68,13.19,5.86,5122.99,144.79,11.11,22.3
2026-04-15T14:09:07,863.84,12.83,12.96,10995.61,153.92,11.86,22.29
2026-04-15T14:09:08,883.05,13.12,13.25,11589.17,165.51,12.74,22.3
2026-04-15T14:09:09,859.91,13.13,12.9,11287.84,177.28,13.64,22.3
2026-04-15T14:09:10,873.45,13.13,12.92,11300.29,188.86,14.52,22.31
2026-04-15T14:09:11,891.53,13.13,13.37,11703.06,200.36,15.4,22.32
2026-04-15T14:09:12,880.32,13.13,13.21,11554.69,211.92,16.28,22.32
2026-04-15T14:09:13,793.21,13.13,11.9,10409.73,223.34,17.15,22.33
2026-04-15T14:09:14,759.14,12.81,11.39,9612.98,233.45,17.93,22.33
2026-04-15T14:09:15,97.33,13.19,2.1,1856.93,239.0,18.36,22.34
2026-04-15T14:09:16,313.07,13.3,4.7,4394.96,241.11,18.52,22.34
2026-04-15T14:09:17,892.73,12.66,13.39,11197.69,250.15,19.26,22.33
2026-04-15T14:09:18,893.54,13.13,13.4,11728.45,261.98,20.17,22.34
2026-04-15T14:09:19,865.69,13.13,12.99,11363.04,273.54,21.05,22.34
2026-04-15T14:09:20,846.77,13.13,13.01,11380.37,284.85,21.91,22.35
2026-04-15T14:09:21,831.99,13.13,12.48,10924.01,296.0,22.76,22.35
2026-04-15T14:09:22,856.49,13.13,12.85,11242.74,307.14,23.61,22.36
2026-04-15T14:09:23,793.06,13.13,11.9,10409.61,318.04,24.44,22.36
2026-04-15T14:09:24,727.75,12.85,10.92,9225.77,327.89,25.2,22.36
2026-04-15T14:09:25,72.12,13.17,1.08,944.52,333.05,25.6,22.37
2026-04-15T14:09:26,404.03,13.21,6.06,5317.2,335.15,25.76,22.37
2026-04-15T14:09:27,810.51,12.73,12.16,10207.82,344.06,26.48,22.36
2026-04-15T14:09:28,883.18,13.13,13.25,11591.92,355.69,27.38,22.36
2026-04-15T14:09:29,867.14,13.13,13.01,11382.02,367.4,28.27,22.37
2026-04-15T14:09:30,864.72,13.13,12.97,11431.46,378.94,29.15,22.37
2026-04-15T14:09:31,876.88,13.13,13.15,11510.07,390.3,30.01,22.38
2026-04-15T14:09:32,871.51,13.13,13.07,11439.09,401.66,30.88,22.38
2026-04-15T14:09:33,832.65,13.13,12.49,10927.73,412.84,31.73,22.38
2026-04-15T14:09:34,752.39,12.81,11.29,9511.41,422.87,32.5,22.39
2026-04-15T14:09:35,167.54,13.2,2.51,1649.35,428.62,32.95,22.39
2026-04-15T14:09:36,271.53,13.27,4.07,3773.86,430.63,33.1,22.39
2026-04-15T14:09:37,768.93,12.78,11.53,9754.58,439.33,33.81,22.39
2026-04-15T14:09:38,856.86,13.13,12.85,11247.38,450.74,34.68,22.39
2026-04-15T14:09:39,852.49,13.13,12.79,11189.09,462.04,35.54,22.4
2026-04-15T14:09:40,831.97,13.13,12.48,10921.39,473.22,36.4,22.4
2026-04-15T14:09:41,853.52,13.13,12.8,11204.29,484.29,37.24,22.41
2026-04-15T14:09:42,833.63,13.13,12.5,10942.87,495.31,38.08,22.41
2026-04-15T14:09:43,792.88,13.13,11.89,10404.66,506.16,38.9,22.41
2026-04-15T14:09:44,670.39,12.94,10.06,8619.08,516.09,39.66,22.41
2026-04-15T14:09:45,71.75,13.17,1.08,944.95,521.44,40.08,22.41
2026-04-15T14:09:46,269.18,13.23,4.04,3709.96,523.39,40.23,22.41
2026-04-15T14:09:47,878.54,12.68,11.97,9975.1,532.07,40.94,22.41
2026-04-15T14:09:48,867.98,13.12,13.02,11392.09,543.63,41.82,22.41
2026-04-15T14:09:49,879.31,13.13,13.19,11541.02,555.21,42.71,22.42
2026-04-15T14:09:50,864.64,13.13,12.97,11349.85,566.67,43.58,22.43
2026-04-15T14:09:51,882.64,13.13,13.24,11586.18,578.19,44.46,22.43
2026-04-15T14:09:52,881.86,13.12,13.21,11562.07,589.77,45.34,22.44
2026-04-15T14:09:53,853.39,13.13,12.8,11198.97,601.18,46.21,22.44
2026-04-15T14:09:54,674.1,12.8,10.11,8479.25,611.42,47.0,22.45
2026-04-15T14:09:55,198.67,13.19,2.98,2641.97,617.51,47.47,22.45
2026-04-15T14:09:56,265.45,13.29,3.98,3592.9,619.46,47.61,22.45
2026-04-15T14:09:57,815.6,12.61,13.46,11239.38,627.97,48.32,22.45
2026-04-15T14:09:58,843.51,13.13,12.65,11074.16,639.48,49.2,22.45
2026-04-15T14:09:59,835.57,13.13,12.53,10969.73,650.55,50.04,22.45
2026-04-15T14:10:00,816.67,13.13,12.25,10720.89,661.31,50.86,22.46
2026-04-15T14:10:01,802.23,13.13,12.03,10531.13,671.89,51.67,22.47
2026-04-15T14:10:02,777.76,13.13,11.81,10337.34,682.42,52.47,22.47
2026-04-15T14:10:03,749.68,13.13,11.25,9842.16,692.81,53.26,22.47
2026-04-15T14:10:04,625.8,13.01,9.39,8085.14,702.23,53.98,22.48
2026-04-15T14:10:05,71.74,13.17,1.08,944.52,707.29,54.37,22.48
